Occupation/Context,Total Employed (US),Gesture-Relevance Analysis,Context Tags,Gestural Cueing for Alerts or Transitions,Need for Discreet or Silent Communication,Multimodal Command Needs,Wears Gloves or Hands Often Dirty,Safety-Critical Tasks,Touch-Free Requirement,"Environmental Sensitivity (Moisture, Heat, Cold)",Hands Frequently Full,Performance Contexts,Sterile or Hygiene-Sensitive Settings,Task Switching Without Losing Flow,Field Work with Limited Tech Access,One-Handed or Asymmetric Work,High-Volume Repetitive Logging,Dim or Low-Light Workspaces,Constant Motion / Mobile Work,Visual Focus Must Stay Forward,Time-Sensitive or High-Paced Environments,Noisy Environments (Voice Input Unreliable),Irregular or Constrained Environments,Team-Based Spatial Work,Public-Facing with Frequent Interruptions,Objects or Screens are Out of Reach,Data/Interface Control While Focused Elsewhere
Car Wash Attendant,124661,"Car wash attendants juggle customer service with physical tasks: guiding vehicles, spraying down exteriors, and managing automated wash cycles. Gloves and water make phones or tablets risky to handle. A gesture-based input system could allow them to trigger conveyor controls, alert coworkers, or manage audio cues hands-free — improving safety and throughput. In fast-paced environments, this allows staff to stay responsive without breaking stride.","['Public-Facing with Frequent Interruptions', 'Wears Gloves or Hands Often Dirty', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",124661,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124661,0,0
Car Washer,124661,"Car washers spend their shifts in wet, high-motion environments — wielding hoses, sponges, and brushes to clean vehicles quickly and thoroughly. Their hands are constantly soaked or soapy, and gloves are standard for protection. Gesture-based input would allow workers to control timers, signal coworkers, or advance customer queues without touching a screen. It’s a clean, efficient solution that fits perfectly in a job where water and tech don’t mix.","['Public-Facing with Frequent Interruptions', 'Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,124661,0,0,0,0,0,124661,0,0
Cargo Handler,124661,"Cargo handlers move freight by hand or with equipment in warehouses, airports, and shipyards. They often wear gloves, work in noisy environments, and are in constant motion. Screens are impractical, and voice input may be drowned out. Gesture controls could streamline load tracking, destination confirmation, or hazard signaling — all without stopping the flow of goods. It’s a way to add seamless digital oversight without adding friction to fast-paced logistics work.","['Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement', 'Gestural Cueing for Alerts or Transitions']",124661,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,124661,0,0,0,0,0,0,0,0
Cart Pusher,124661,"Cart pushers work outdoors in parking lots, retrieving and organizing shopping carts — often in rain, snow, or extreme heat. Their hands are full and their attention is split between pedestrian safety and vehicle traffic. A gesture-based system could enable silent alerts, task logging, or quick communication with store teams without returning inside or fumbling with a phone. It’s a safer, more streamlined way to stay connected while staying on task.","['Need for Discreet or Silent Communication', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments']",124661,124661,0,0,0,124661,0,0,0,0,0,0,0,0,0,0,0,124661,0,0,0,0,0,0
Carton Wrapper,124661,"Carton wrappers handle boxes on fast-moving lines, sealing or wrapping them for shipping. With tape, plastic, or adhesive machinery in use, their hands are busy and often sticky or gloved. Stopping to interact with a touchscreen disrupts pace and invites contamination. Gesture input would allow workers to log items, mark damaged goods, or notify managers of supply needs — all without breaking stride. A small improvement with outsized impact in high-volume settings.","['High-Volume Repetitive Logging', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,0,0,0,0,0,0,0,0,0
Chain Offbearer,124661,"In sawmills and heavy manufacturing, a chain offbearer removes finished materials from moving chains — a fast, repetitive, and dangerous task. Gloves are mandatory, and hands must stay clear of moving machinery. Gesture-based input could enable workers to signal stoppages, track output, or alert safety issues without stepping away. It reduces reliance on nearby switches or screens, making communication safer and more efficient in high-risk, high-speed environments.","['Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement', 'Gestural Cueing for Alerts or Transitions']",124661,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,124661,0,0,0,0,0,0,0,0
Chopper Feeder,124661,"A chopper feeder loads raw materials — often wood or scrap — into industrial choppers or shredders. It’s dirty, noisy work with high safety demands. Their hands are gloved and occupied, and screens are impractical near moving blades. Gesture input could let them trigger feeder pauses, log material types, or flag jams without turning away or touching controls. In this setting, hands-free input supports both productivity and physical safety.","['Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'Noisy Environments (Voice Input Unreliable)', 'High-Volume Repetitive Logging']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,0,0,0,124661,0,0,0,0,0
Doffer,124661,"Doffers remove full spools or bobbins from textile machinery and replace them with empty ones. It’s repetitive, fast-paced work with limited time between changes. Often performed with gloves in noisy factory floors, the role leaves little room for phone use or screen interaction. A gesture-based interface could help doffers signal low stock, log machine counts, or notify maintenance — reducing downtime and keeping operations humming without breaking workflow.","['Performance Contexts', 'Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,124661,0,0,0,0,0,0,124661,0,0,0,0,0,0,0,0
Dryer Feeder,124661,"A dryer feeder continuously loads wet linens, garments, or materials into industrial dryers — a job often done in hot, humid, and noisy laundry facilities. Hands are typically gloved or damp, and attention must stay on managing clumps and feeding speed. Gesture input would allow workers to adjust timers, signal clogs, or log throughput without touching controls or breaking focus — improving flow, safety, and sanitation.","['Wears Gloves or Hands Often Dirty', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement', 'Noisy Environments (Voice Input Unreliable)']",124661,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,0,0,0,124661,0,0,0,0,0
Egg Packer,124661,"Egg packers must handle delicate, breakable products quickly and carefully. Gloves are common for hygiene, and the work demands constant visual attention. Screens are impractical during packing, and even voice commands can disturb focus in quiet zones. Gesture-based input would enable seamless tracking, error flagging, or line communication — keeping workers efficient and reducing downtime without compromising cleanliness or control.","['Sterile or Hygiene-Sensitive Settings', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments']",0,0,0,124661,0,124661,0,0,0,124661,0,0,0,0,0,0,0,124661,0,0,0,0,0,0
Equipment Cleaner,124661,"Equipment cleaners handle sanitation across industrial, medical, or food-processing machinery. They work with gloves, disinfectants, and pressure systems — often in tight or damp conditions. Touchscreens are a liability, both from a contamination and durability standpoint. Gesture input offers a way to toggle checklists, log cleaned units, or notify completion without pausing to scrub in and out. It keeps cleaning efficient and compliant without additional friction.","['Sterile or Hygiene-Sensitive Settings', 'High-Volume Repetitive Logging', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,124661,0,0,0,124661,0,0,0,0,0,0,0,0,0,0
Freight Handler,124661,"Freight handlers move large goods manually or with tools in warehouses and transport hubs. Their work is fast, loud, and physically demanding, with constant lifting and maneuvering. Hands are often full or gloved, and traditional input methods slow them down. Gesture input enables quick documentation, hazard alerts, or shift coordination — all without setting down cargo. In logistics, every second saved matters.","['Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement', 'Gestural Cueing for Alerts or Transitions']",124661,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,124661,0,0,0,0,0,0,0,0
Garbage Collector,124661,"Garbage collectors ride exterior platforms, lift heavy bins, and work in all weather. Gloves are required, and hands are constantly in motion — leaving no room for fragile devices. A gesture system could allow them to mark missed pickups, report bin hazards, or log route data while staying mobile and safe. It reduces reliance on radios or manual logging, enhancing both efficiency and ergonomics.","['Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement', 'High-Volume Repetitive Logging']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,124661,0,0,0,0,0,0,0,0
Gift Wrapper,124661,"Gift wrappers balance speed and aesthetics — folding, taping, and embellishing with precision. Their hands are usually sticky or gloved, and their focus is on symmetry and flow. Stopping to access a touchscreen can break rhythm and add friction. Gesture input could allow them to cycle through wrapping instructions, toggle music, or log completed orders without pausing or compromising presentation. It’s a light touch for a detail-driven task.","['Performance Contexts', 'High-Volume Repetitive Logging', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,124661,0,0,0,0,124661,0,0,0,0,0,0,0,0,0,0
Grave Digger,124661,"Grave diggers operate heavy equipment, work in uneven terrain, and handle both tools and ceremonial responsibilities. Gloves, dirt, and exposure to the elements make tech interaction difficult. A gesture-based system would allow discreet task logging, equipment status updates, or crew coordination — especially in solemn settings where silence and discretion matter. It blends utility with respect.","['Need for Discreet or Silent Communication', 'High-Volume Repetitive Logging', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,124661,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,0,0,0,0,0,0,0,0,0
Grocery Stocker,124661,"Grocery stockers work overnight or early mornings in dim aisles, often handling heavy boxes or frozen goods with gloved hands. Multitasking is constant — tracking inventory, navigating customers, and keeping shelves pristine. A gesture system could help them control scanners, communicate low stock, or play music without putting boxes down. It supports flow, accuracy, and autonomy in a job where tempo and rhythm matter.","['Dim or Low-Light Workspaces', 'Public-Facing with Frequent Interruptions', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,0,124661,0,0,0,0,0,0,124661,0,0
Grocery Store Bagger,124661,"Grocery store baggers juggle fragile items, weight distribution, and customer interaction. With full hands and little time, reaching for a device is impractical. Gesture input could let them flag register issues, call for assistance, or confirm bagging preferences — all while staying focused on the customer. It’s a subtle but powerful tool for smoother front-end coordination.","['Public-Facing with Frequent Interruptions', 'Touch-Free Requirement']",0,0,0,0,0,124661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124661,0,0
Hopper Feeder,124661,"Hopper feeders load materials — grain, plastic, metal — into industrial hoppers. The job is dusty, loud, and physically intense, with safety protocols requiring gloves and constant motion. A gesture interface would allow real-time load tracking, jam notifications, or material change alerts — all without touching shared surfaces or stepping away from the equipment.","['Wears Gloves or Hands Often Dirty', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement', 'Data/Interface Control While Focused Elsewhere']",124661,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124661
Hopper Filler,124661,"Hopper fillers replenish industrial hoppers with raw inputs during continuous operations. Downtime is costly, and the job often involves gloves, masks, and elevated platforms. Gesture-based controls allow quick signaling of inventory needs, adjustment of flow rates, or confirmation of fills without interrupting the cycle — keeping the line moving and the worker focused.","['Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments', 'High-Volume Repetitive Logging']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,0,0,124661,0,0,0,0,0,0
Line Feeder,124661,"Line feeders keep production lines running by ensuring parts or materials are continuously supplied. Their work is repetitive, time-sensitive, and often done while wearing gloves in noisy environments. Gesture input would let them signal resupply needs, log completed units, or adjust pacing without stepping away or breaking flow — keeping the line efficient without the contamination or slowdown of screen interaction.","['Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'Noisy Environments (Voice Input Unreliable)', 'High-Volume Repetitive Logging']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,0,0,0,124661,0,0,0,0,0
Machine Cleaner,124661,"Machine cleaners sanitize complex industrial equipment, often using chemicals, hoses, or steam in hard-to-reach areas. Touchscreens are impractical, both due to wet conditions and hygiene requirements. Gesture input allows them to access digital cleaning checklists, record status, or flag issues without removing gloves or compromising sterility — ensuring thoroughness without workflow disruption.","['Sterile or Hygiene-Sensitive Settings', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'High-Volume Repetitive Logging']",0,0,0,124661,0,124661,0,0,0,124661,0,0,0,124661,0,0,0,0,0,0,0,0,0,0
Manufacturing Laborer,124661,"Manufacturing laborers perform diverse tasks — assembling, loading, sorting — in fast-paced, physically demanding environments. Gloves, repetitive motion, and constant task switching are the norm. A gesture-based interface could support real-time task logging, machine coordination, or shift communication, all without slowing down or introducing touchscreens that don’t survive factory conditions.","['Performance Contexts', 'Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,124661,0,0,0,0,0,0,124661,0,0,0,0,0,0,0,0
Material Handler,124661,"Material handlers manage the movement of goods within warehouses or manufacturing sites, often driving forklifts or moving heavy objects by hand. Their hands are full, and they’re always in motion. Gesture controls could enable quick inventory confirmations, route checks, or task switching without stopping the flow of movement — supporting productivity without distraction.","['Visual Focus Must Stay Forward', 'Constant Motion / Mobile Work', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments']",0,0,0,0,0,124661,0,0,0,0,0,0,0,0,0,124661,124661,124661,0,0,0,0,0,0
Meat Packager,124661,"In cold, hygiene-sensitive environments, meat packagers wear gloves and protective gear while handling raw meat. Touch interfaces are a contamination risk and often inaccessible. Gesture-based input could support batch logging, label printing, or alerts — all while preserving cleanliness and avoiding workflow interruptions.","['Sterile or Hygiene-Sensitive Settings', 'Public-Facing with Frequent Interruptions', 'Wears Gloves or Hands Often Dirty', 'Gestural Cueing for Alerts or Transitions']",124661,0,0,124661,0,0,0,0,0,124661,0,0,0,0,0,0,0,0,0,0,0,124661,0,0
Meat Wrapper,124661,"Meat wrappers work quickly to seal and label meat products, typically wearing gloves and surrounded by moisture and debris. Screens are impractical in this context. Gestures can offer touchless control of wrapping machine settings, lot tracking, or equipment signals — keeping pace without sacrificing sanitation or efficiency.","['Gestural Cueing for Alerts or Transitions', 'Wears Gloves or Hands Often Dirty', 'Time-Sensitive or High-Paced Environments', 'Touch-Free Requirement']",124661,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,0,0,124661,0,0,0,0,0,0
Night Stocker,124661,"Night stockers refill store shelves in low light with minimal supervision. Wearing gloves, lifting boxes, and navigating dim aisles, they have little capacity for device interaction. Gesture input could offer quick access to product info, restocking checklists, or background music — helping them stay efficient, autonomous, and in the zone.","['Dim or Low-Light Workspaces', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,0,124661,0,0,124661,0,0,0,0,0,0
Offbearer,124661,"Offbearers remove finished products from machinery — a repetitive, high-speed job often requiring PPE and vigilance. Screens are hard to reach, and attention must stay on the machinery. Gesture controls allow safe signaling of issues, output tracking, or machine interactions without ever leaving the workstation.","['Gestural Cueing for Alerts or Transitions', 'Constant Motion / Mobile Work', 'Touch-Free Requirement', 'High-Volume Repetitive Logging']",124661,0,0,0,0,124661,0,0,0,0,0,0,0,124661,0,124661,0,0,0,0,0,0,0,0
Package Handler,124661,"Package handlers sort and load parcels under tight deadlines in loud, chaotic spaces. Gloves are essential, and hands are always full. Gesture-based input would let them confirm loads, track anomalies, or communicate across teams without stopping the flow — a seamless layer of control in high-throughput logistics.","['Noisy Environments (Voice Input Unreliable)', 'High-Volume Repetitive Logging', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,0,0,0,124661,0,0,0,0,0
Packing Machine Can Feeder,124661,"These workers feed cans into automated packing machines — a precision-driven, repetitive task often done while gloved and in motion. Gesture input would allow for jam alerts, line coordination, or mode toggling without stepping away or risking contamination. It’s a clean, quiet way to stay connected while keeping pace.","['Gestural Cueing for Alerts or Transitions', 'High-Volume Repetitive Logging', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",124661,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,0,0,0,0,0,0,0,0,0
Railroad Car Cleaner,124661,"These workers clean large, often moving railcars — navigating narrow corridors, awkward angles, and grimy surfaces. Gloves and masks are common, and the work is physically demanding. A gesture-based interface could help log cleaned sections, request supplies, or communicate with supervisors, all without handling devices in tight or dirty spaces.","['Data/Interface Control While Focused Elsewhere', 'High-Volume Repetitive Logging', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,0,0,0,0,0,0,0,0,124661
Recyclable Materials Collector,124661,"Collectors work fast on predetermined routes, lifting bins and sorting materials — often in gloves and with wet or dirty hands. A gesture system could allow route tracking, hazard flagging, or volume logging while on the move, without needing to handle a touchscreen in unsanitary or weather-exposed conditions.","['Sterile or Hygiene-Sensitive Settings', 'Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,124661,0,0,0,0,0,124661,0,0,0,0,0,0,0,0
Refuse Collector,124661,"Refuse collectors operate in fast-moving, high-risk environments, where attention must stay on traffic and surroundings. With both hands busy and gloves on, traditional inputs are a safety liability. Gesture input enables them to log stops, flag obstacles, or coordinate with drivers discreetly and hands-free.","['Need for Discreet or Silent Communication', 'Hands Frequently Full', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,124661,0,124661,0,124661,0,124661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retail Stocker,124661,"Retail stockers handle inventory across multiple departments, often while lifting, scanning, or navigating crowded aisles. Screens disrupt flow and require clean hands. Gesture input would let them access SKU info, log placement, or request restocks without losing momentum — helpful especially during off-hours or solo shifts.","['High-Volume Repetitive Logging', 'Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,124661,0,0,0,0,0,0,0,0
Scrap Metal Collector,124661,"Often working in outdoor yards or chaotic industrial sites, scrap metal collectors wear heavy gloves and interact with sharp, dirty materials. Touchscreens are impractical. Gesture input could allow tagging of hazardous finds, tracking material weights, or coordinating with loaders from a safe distance.","['Safety-Critical Tasks', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,124661,124661,124661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping and Receiving Material Handler,124661,"These workers juggle pallet jacks, forklifts, and handheld scanners in noisy warehouses. Hands are full, and attention must stay on moving machinery. Gesture-based input could support quick item logging, gate controls, or task updates without leaving the line or stopping equipment.","['Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments', 'Noisy Environments (Voice Input Unreliable)', 'High-Volume Repetitive Logging']",0,0,0,0,0,124661,0,0,0,0,0,0,0,124661,0,0,0,124661,124661,0,0,0,0,0
Solid Waste Collector,124661,"Handling bins, lifting loads, and navigating alleys, solid waste collectors need to stay alert and mobile. Gloves and exposure to refuse make screen interaction unhygienic. Gestures could let them log collection issues, activate lifts, or mark location-based notes hands-free — supporting cleaner, safer routes.","['Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement', 'High-Volume Repetitive Logging']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,124661,0,0,0,0,0,0,0,0
Spike Machine Feeder,124661,"Feeding materials into heavy rail spike machinery is repetitive, loud, and often dangerous. Workers wear gloves and must maintain focus near powerful equipment. A gesture interface offers a safe way to log material loads, request maintenance, or trigger slowdowns without breaking posture or risking contact with controls.","['Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'Data/Interface Control While Focused Elsewhere', 'Noisy Environments (Voice Input Unreliable)']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,0,0,0,124661,0,0,0,0,124661
Spinning Doffer,124661,"Spinning doffers swap out full bobbins on high-speed textile machines — a fast, dexterous role done with gloves and strict rhythm. Gesture controls would allow seamless log updates, machine alerts, or pace adjustments while keeping their hands in motion and their attention where it matters.","['Wears Gloves or Hands Often Dirty', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement', 'High-Volume Repetitive Logging']",124661,0,0,124661,0,124661,0,0,0,0,0,0,0,124661,0,0,0,0,0,0,0,0,0,0
Spooler Operator,124661,"Spooler operators manage large spools of wire or thread, monitoring tension and alignment while handling tools and PPE. Gesture-based input enables touchless adjustments, error flagging, or shift logging without pausing or contaminating sensitive materials — ideal for long, continuous runs.","['High-Volume Repetitive Logging', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,0,0,124661,0,0,0,0,0,0,0,124661,0,124661,0,0,0,0,0,0,0,0
Store Stocker,124661,"Store stockers handle fragile items, navigate crowded aisles, and work across departments. With hands full and carts in motion, gesture input could allow silent communication with teammates, real-time price checks, or music control — improving pace without disrupting customers.","['Public-Facing with Frequent Interruptions', 'Need for Discreet or Silent Communication', 'Hands Frequently Full', 'Touch-Free Requirement']",0,124661,0,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,0,0,0,0,124661,0,0
